higherGeography,pcr_primer_name_forward,phylum,class,order,family,species,asvs,reads
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Atheriniformes,Atherinidae,1,25,51200
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Atheriniformes,Atherinopsidae,0,1,15
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Aulopiformes,Synodontidae,3,22,7893
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Beloniformes,Belonidae,3,32,42071
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Beloniformes,Exocoetidae,1,12,4408
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Beloniformes,Hemiramphidae,1,13,7775
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Blenniiformes,Blenniidae,7,48,51448
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Carangaria incertae sedis,Polynemidae,1,8,57464
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Carangaria incertae sedis,Sphyraenidae,2,16,6198
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Carangiformes,Carangidae,5,56,277339
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Carangiformes,Echeneidae,1,5,1521
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Centrarchiformes,Cirrhitidae,1,8,10777
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Centrarchiformes,Kyphosidae,1,17,28370
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Centrarchiformes,Terapontidae,1,2,30
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Clupeiformes,Clupeidae,0,1,37
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Clupeiformes,Dorosomatidae,1,2,45
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Clupeiformes,Spratelloididae,1,18,49497
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Cypriniformes,Cyprinidae,0,4,1469
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Eupercaria incertae sedis,Caesionidae,3,24,75832
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Eupercaria incertae sedis,Gerreidae,4,38,1516920
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,2,16,47112
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,12,116,110375
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Eupercaria incertae sedis,Lethrinidae,6,21,12112
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Eupercaria incertae sedis,Lutjanidae,12,106,391036
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Eupercaria incertae sedis,Monodactylidae,1,9,134887
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Eupercaria incertae sedis,Moronidae,0,2,15
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Eupercaria incertae sedis,Priacanthidae,1,2,391
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Eupercaria incertae sedis,Scaridae,6,42,48850
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Eupercaria incertae sedis,Sparidae,0,3,49
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Gobiesociformes,Gobiesocidae,1,2,401
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Gobiiformes,Eleotridae,1,18,15157
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Gobiiformes,Gobiidae,9,99,148531
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Gobiiformes,Kraemeriidae,1,6,2705
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Gobiiformes,Microdesmidae,2,20,16839
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Gonorynchiformes,Chanidae,1,5,4728
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Holocentriformes,Holocentridae,7,76,120454
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Kurtiformes,Apogonidae,8,36,75142
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Lophiiformes,Antennariidae,1,2,543
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Mugiliformes,Mugilidae,3,12,16546
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Mulliformes,Mullidae,5,41,50704
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Myctophiformes,Myctophidae,6,24,10208
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Ophidiiformes,Bythitidae,0,4,943
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Ovalentaria incertae sedis,Pomacentridae,10,80,168513
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Perciformes,Nototheniidae,1,2,24
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Perciformes,Scorpaenidae,2,16,7145
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Perciformes,Serranidae,13,98,117263
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Pleuronectiformes,Bothidae,1,17,6072
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Pleuronectiformes,Soleidae,1,4,408
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Scombriformes,Chiasmodontidae,1,1,6
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Scombriformes,Scombridae,0,6,4080
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Syngnathiformes,Fistulariidae,1,3,893
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Tetraodontiformes,Balistidae,5,59,116539
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Tetraodontiformes,Diodontidae,1,2,603
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Tetraodontiformes,Monacanthidae,2,18,12342
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Tetraodontiformes,Ostraciidae,1,3,488
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Tetraodontiformes,Tetraodontidae,3,27,17762
Aldabra Atoll,MiMammal-UEB-F,Chordata,,Squamata,,0,1,20
Aldabra Atoll,MiMammal-UEB-F,Chordata,,Testudines,Cheloniidae,1,5,11536
Aldabra Atoll,MiMammal-UEB-F,Chordata,,,,0,4594,3311620
Aldabra Atoll,MiMammal-UEB-F,Cryptophyta,Cryptophyceae,Pyrenomonadales,Geminigeraceae,0,1,29
Aldabra Atoll,MiMammal-UEB-F,Cryptophyta,Cryptophyceae,Pyrenomonadales,,0,1,86
Aldabra Atoll,MiMammal-UEB-F,Echinodermata,Asteroidea,Valvatida,,0,1,10
Aldabra Atoll,MiMammal-UEB-F,Echinodermata,Ophiuroidea,Ophiacanthida,Ophiocomidae,1,1,61
Aldabra Atoll,MiMammal-UEB-F,Firmicutes,,,,0,1,10
Aldabra Atoll,MiMammal-UEB-F,Haptophyta,Coccolithophyceae,Phaeocystales,Phaeocystaceae,1,1,32
Aldabra Atoll,MiMammal-UEB-F,Mollusca,Gastropoda,Cephalaspidea,Aglajidae,1,1,165
Aldabra Atoll,MiMammal-UEB-F,Mollusca,Gastropoda,Cephalaspidea,Haminoeidae,1,1,2
Aldabra Atoll,MiMammal-UEB-F,Mollusca,Gastropoda,Littorinimorpha,Tornidae,1,1,8
Aldabra Atoll,MiMammal-UEB-F,Myzozoa,Dinophyceae,Amphidiniales,Amphidiniaceae,1,1,6
Aldabra Atoll,MiMammal-UEB-F,Myzozoa,Dinophyceae,Syndiniales,Syndiniaceae,0,1,21
Aldabra Atoll,MiMammal-UEB-F,Myzozoa,Dinophyceae,,,0,1,12
Aldabra Atoll,MiMammal-UEB-F,Ochrophyta,Bolidophyceae,Parmales,Triparmaceae,0,2,61
Aldabra Atoll,MiMammal-UEB-F,Ochrophyta,Pelagophyceae,Pelagomonadales,Pelagomonadaceae,1,2,50
Aldabra Atoll,MiMammal-UEB-F,Porifera,Demospongiae,Clionaida,Clionaidae,1,1,7
Aldabra Atoll,MiMammal-UEB-F,Porifera,Demospongiae,,,0,1,44
Aldabra Atoll,MiMammal-UEB-F,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria incertae sedis,,0,1,245
